destination,score,hotel_rating,all-incl_hotels,most_visited_city
Sardinia,8.3,3.6,41,Cagliari
Tenerife,7.9,3.8,38,Santa Cruz de Tenerife
Corsica,8.1,3.9,40,Ajaccio
Madeira,1.9,4.3,11,Funchal
Andalucia,7.8,3.7,97,Malaga
Iceland,5.2,2.8,7,Reykjavik
Algarve,8.6,4.7,32,Faro
Bahamas,8.5,2.9,5,Andros Town
Balearic Islands,6.3,3.5,173,Palma
Dalmatia,9.1,3.4,9,Zadar
Goa,8.4,3.1,6,Panaji
Bali,6.5,3.6,154,Denpasar city
Mauritius,9.2,4.1,27,Port Louis
Hawaii,9.3,4.6,118,Honolulu
Cyprus,7.5,4.2,22,Larnaca
